dteday,season,year,month,casual,registered,count,cluster
2011-01-30,Spring,2011,Jan,140,956,1096,Cluster Rendah
2011-01-31,Spring,2011,Jan,42,1459,1501,Cluster Rendah
2011-02-01,Spring,2011,Feb,47,1313,1360,Cluster Rendah
2011-02-02,Spring,2011,Feb,72,1454,1526,Cluster Rendah
2011-02-03,Spring,2011,Feb,61,1489,1550,Cluster Rendah
2011-02-04,Spring,2011,Feb,88,1620,1708,Cluster Rendah
2011-02-05,Spring,2011,Feb,100,905,1005,Cluster Rendah
2011-02-06,Spring,2011,Feb,354,1269,1623,Cluster Rendah
2011-02-07,Spring,2011,Feb,120,1592,1712,Cluster Rendah
2011-02-08,Spring,2011,Feb,64,1466,1530,Cluster Rendah
2011-02-09,Spring,2011,Feb,53,1552,1605,Cluster Rendah
2011-02-10,Spring,2011,Feb,47,1491,1538,Cluster Rendah
2011-02-11,Spring,2011,Feb,149,1597,1746,Cluster Rendah
2011-02-12,Spring,2011,Feb,288,1184,1472,Cluster Rendah
2011-02-13,Spring,2011,Feb,397,1192,1589,Cluster Rendah
2011-02-14,Spring,2011,Feb,208,1705,1913,Cluster Rendah
2011-02-15,Spring,2011,Feb,140,1675,1815,Cluster Rendah
2011-02-16,Spring,2011,Feb,218,1897,2115,Cluster Rendah
2011-02-17,Spring,2011,Feb,259,2216,2475,Cluster Rendah
2011-02-18,Spring,2011,Feb,579,2348,2927,Cluster Rendah
2011-02-19,Spring,2011,Feb,532,1103,1635,Cluster Rendah
2011-02-20,Spring,2011,Feb,639,1173,1812,Cluster Rendah
2011-02-21,Spring,2011,Feb,195,912,1107,Cluster Rendah
2011-02-22,Spring,2011,Feb,74,1376,1450,Cluster Rendah
2011-02-23,Spring,2011,Feb,139,1778,1917,Cluster Rendah
2011-02-24,Spring,2011,Feb,100,1707,1807,Cluster Rendah
2011-02-25,Spring,2011,Feb,120,1341,1461,Cluster Rendah
2011-02-26,Spring,2011,Feb,424,1545,1969,Cluster Rendah
2011-02-27,Spring,2011,Feb,694,1708,2402,Cluster Rendah
2011-02-28,Spring,2011,Feb,81,1365,1446,Cluster Rendah
2011-03-01,Spring,2011,Mar,137,1714,1851,Cluster Rendah
2011-03-02,Spring,2011,Mar,231,1903,2134,Cluster Rendah
2011-03-03,Spring,2011,Mar,123,1562,1685,Cluster Rendah
2011-03-04,Spring,2011,Mar,214,1730,1944,Cluster Rendah
2011-03-05,Spring,2011,Mar,640,1437,2077,Cluster Rendah
2011-03-06,Spring,2011,Mar,114,491,605,Cluster Rendah
2011-03-07,Spring,2011,Mar,244,1628,1872,Cluster Rendah
2011-03-08,Spring,2011,Mar,316,1817,2133,Cluster Rendah
2011-03-09,Spring,2011,Mar,191,1700,1891,Cluster Rendah
2011-03-10,Spring,2011,Mar,46,577,623,Cluster Rendah
2011-03-11,Spring,2011,Mar,247,1730,1977,Cluster Rendah
2011-03-12,Spring,2011,Mar,724,1408,2132,Cluster Rendah
2011-03-13,Spring,2011,Mar,982,1435,2417,Cluster Rendah
2011-03-14,Spring,2011,Mar,359,1687,2046,Cluster Rendah
2011-03-15,Spring,2011,Mar,289,1767,2056,Cluster Rendah
2011-03-16,Spring,2011,Mar,321,1871,2192,Cluster Rendah
2011-03-17,Spring,2011,Mar,424,2320,2744,Cluster Rendah
2011-03-18,Spring,2011,Mar,884,2355,3239,Cluster Sedang
2011-03-19,Spring,2011,Mar,1424,1693,3117,Cluster Rendah
2011-03-20,Spring,2011,Mar,1047,1424,2471,Cluster Rendah
2011-03-21,Summer,2011,Mar,401,1676,2077,Cluster Rendah
2011-03-22,Summer,2011,Mar,460,2243,2703,Cluster Rendah
2011-03-23,Summer,2011,Mar,203,1918,2121,Cluster Rendah
2011-03-24,Summer,2011,Mar,166,1699,1865,Cluster Rendah
2011-03-25,Summer,2011,Mar,300,1910,2210,Cluster Rendah
2011-03-26,Summer,2011,Mar,981,1515,2496,Cluster Rendah
2011-03-27,Summer,2011,Mar,472,1221,1693,Cluster Rendah
2011-03-28,Summer,2011,Mar,222,1806,2028,Cluster Rendah
2011-03-29,Summer,2011,Mar,317,2108,2425,Cluster Rendah
2011-03-30,Summer,2011,Mar,168,1368,1536,Cluster Rendah
2011-03-31,Summer,2011,Mar,179,1506,1685,Cluster Rendah
2011-04-01,Summer,2011,Apr,307,1920,2227,Cluster Rendah
2011-04-02,Summer,2011,Apr,898,1354,2252,Cluster Rendah
2011-04-03,Summer,2011,Apr,1651,1598,3249,Cluster Sedang
2011-04-04,Summer,2011,Apr,734,2381,3115,Cluster Rendah
2011-04-05,Summer,2011,Apr,167,1628,1795,Cluster Rendah
2011-04-06,Summer,2011,Apr,413,2395,2808,Cluster Rendah
2011-04-07,Summer,2011,Apr,571,2570,3141,Cluster Rendah
2011-04-08,Summer,2011,Apr,172,1299,1471,Cluster Rendah
2011-04-09,Summer,2011,Apr,879,1576,2455,Cluster Rendah
2011-04-10,Summer,2011,Apr,1188,1707,2895,Cluster Rendah
2011-04-11,Summer,2011,Apr,855,2493,3348,Cluster Sedang
2011-04-12,Summer,2011,Apr,257,1777,2034,Cluster Rendah
2011-04-13,Summer,2011,Apr,209,1953,2162,Cluster Rendah
2011-04-14,Summer,2011,Apr,529,2738,3267,Cluster Sedang
2011-04-15,Summer,2011,Apr,642,2484,3126,Cluster Rendah
2011-04-16,Summer,2011,Apr,121,674,795,Cluster Rendah
2011-04-17,Summer,2011,Apr,1558,2186,3744,Cluster Sedang
2011-04-18,Summer,2011,Apr,669,2760,3429,Cluster Sedang
2011-04-19,Summer,2011,Apr,409,2795,3204,Cluster Sedang
2011-04-20,Summer,2011,Apr,613,3331,3944,Cluster Sedang
2011-04-21,Summer,2011,Apr,745,3444,4189,Cluster Sedang
2011-04-22,Summer,2011,Apr,177,1506,1683,Cluster Rendah
2011-04-23,Summer,2011,Apr,1462,2574,4036,Cluster Sedang
2011-04-24,Summer,2011,Apr,1710,2481,4191,Cluster Sedang
2011-04-25,Summer,2011,Apr,773,3300,4073,Cluster Sedang
2011-04-26,Summer,2011,Apr,678,3722,4400,Cluster Sedang
2011-04-27,Summer,2011,Apr,547,3325,3872,Cluster Sedang
2011-04-28,Summer,2011,Apr,569,3489,4058,Cluster Sedang
2011-04-29,Summer,2011,Apr,878,3717,4595,Cluster Sedang
2011-04-30,Summer,2011,Apr,1965,3347,5312,Cluster Sedang
2011-05-01,Summer,2011,May,1138,2213,3351,Cluster Sedang
2011-05-02,Summer,2011,May,847,3554,4401,Cluster Sedang
2011-05-03,Summer,2011,May,603,3848,4451,Cluster Sedang
2011-05-04,Summer,2011,May,255,2378,2633,Cluster Rendah
2011-05-05,Summer,2011,May,614,3819,4433,Cluster Sedang
2011-05-06,Summer,2011,May,894,3714,4608,Cluster Sedang
2011-05-07,Summer,2011,May,1612,3102,4714,Cluster Sedang
2011-05-08,Summer,2011,May,1401,2932,4333,Cluster Sedang
2011-05-09,Summer,2011,May,664,3698,4362,Cluster Sedang
2011-05-10,Summer,2011,May,694,4109,4803,Cluster Sedang
2011-05-11,Summer,2011,May,550,3632,4182,Cluster Sedang
2011-05-12,Summer,2011,May,695,4169,4864,Cluster Sedang
2011-05-13,Summer,2011,May,692,3413,4105,Cluster Sedang
2011-05-14,Summer,2011,May,902,2507,3409,Cluster Sedang
2011-05-15,Summer,2011,May,1582,2971,4553,Cluster Sedang
2011-05-16,Summer,2011,May,773,3185,3958,Cluster Sedang
2011-05-17,Summer,2011,May,678,3445,4123,Cluster Sedang
2011-05-18,Summer,2011,May,536,3319,3855,Cluster Sedang
2011-05-19,Summer,2011,May,735,3840,4575,Cluster Sedang
2011-05-20,Summer,2011,May,909,4008,4917,Cluster Sedang
2011-05-21,Summer,2011,May,2258,3547,5805,Cluster Sedang
2011-05-22,Summer,2011,May,1576,3084,4660,Cluster Sedang
2011-05-23,Summer,2011,May,836,3438,4274,Cluster Sedang
2011-05-24,Summer,2011,May,659,3833,4492,Cluster Sedang
2011-05-25,Summer,2011,May,740,4238,4978,Cluster Sedang
2011-05-26,Summer,2011,May,758,3919,4677,Cluster Sedang
2011-05-27,Summer,2011,May,871,3808,4679,Cluster Sedang
2011-05-28,Summer,2011,May,2001,2757,4758,Cluster Sedang
2011-05-29,Summer,2011,May,2355,2433,4788,Cluster Sedang
2011-05-30,Summer,2011,May,1549,2549,4098,Cluster Sedang
2011-05-31,Summer,2011,May,673,3309,3982,Cluster Sedang
2011-06-01,Summer,2011,Jun,513,3461,3974,Cluster Sedang
2011-06-02,Summer,2011,Jun,736,4232,4968,Cluster Sedang
2011-06-03,Summer,2011,Jun,898,4414,5312,Cluster Sedang
2011-06-04,Summer,2011,Jun,1869,3473,5342,Cluster Sedang
2011-06-05,Summer,2011,Jun,1685,3221,4906,Cluster Sedang
2011-06-06,Summer,2011,Jun,673,3875,4548,Cluster Sedang
2011-06-07,Summer,2011,Jun,763,4070,4833,Cluster Sedang
2011-06-08,Summer,2011,Jun,676,3725,4401,Cluster Sedang
2011-06-09,Summer,2011,Jun,563,3352,3915,Cluster Sedang
2011-06-10,Summer,2011,Jun,815,3771,4586,Cluster Sedang
2011-06-11,Summer,2011,Jun,1729,3237,4966,Cluster Sedang
2011-06-12,Summer,2011,Jun,1467,2993,4460,Cluster Sedang
2011-06-13,Summer,2011,Jun,863,4157,5020,Cluster Sedang
2011-06-14,Summer,2011,Jun,727,4164,4891,Cluster Sedang
2011-06-15,Summer,2011,Jun,769,4411,5180,Cluster Sedang
2011-06-16,Summer,2011,Jun,545,3222,3767,Cluster Sedang
2011-06-17,Summer,2011,Jun,863,3981,4844,Cluster Sedang
2011-06-18,Summer,2011,Jun,1807,3312,5119,Cluster Sedang
2011-06-19,Summer,2011,Jun,1639,3105,4744,Cluster Sedang
2011-06-20,Summer,2011,Jun,699,3311,4010,Cluster Sedang
2011-06-21,Fall,2011,Jun,774,4061,4835,Cluster Sedang
2011-06-22,Fall,2011,Jun,661,3846,4507,Cluster Sedang
2011-06-23,Fall,2011,Jun,746,4044,4790,Cluster Sedang
2011-06-24,Fall,2011,Jun,969,4022,4991,Cluster Sedang
2011-06-25,Fall,2011,Jun,1782,3420,5202,Cluster Sedang
2011-06-26,Fall,2011,Jun,1920,3385,5305,Cluster Sedang
2011-06-27,Fall,2011,Jun,854,3854,4708,Cluster Sedang
2011-06-28,Fall,2011,Jun,732,3916,4648,Cluster Sedang
2011-06-29,Fall,2011,Jun,848,4377,5225,Cluster Sedang
2011-06-30,Fall,2011,Jun,1027,4488,5515,Cluster Sedang
2011-07-01,Fall,2011,Jul,1246,4116,5362,Cluster Sedang
2011-07-02,Fall,2011,Jul,2204,2915,5119,Cluster Sedang
2011-07-03,Fall,2011,Jul,2282,2367,4649,Cluster Sedang
2011-07-04,Fall,2011,Jul,3065,2978,6043,Cluster Tinggi
2011-07-05,Fall,2011,Jul,1031,3634,4665,Cluster Sedang
2011-07-06,Fall,2011,Jul,784,3845,4629,Cluster Sedang
2011-07-07,Fall,2011,Jul,754,3838,4592,Cluster Sedang
2011-07-08,Fall,2011,Jul,692,3348,4040,Cluster Sedang
2011-07-09,Fall,2011,Jul,1988,3348,5336,Cluster Sedang
2011-07-10,Fall,2011,Jul,1743,3138,4881,Cluster Sedang
2011-07-11,Fall,2011,Jul,723,3363,4086,Cluster Sedang
2011-07-12,Fall,2011,Jul,662,3596,4258,Cluster Sedang
2011-07-13,Fall,2011,Jul,748,3594,4342,Cluster Sedang
2011-07-14,Fall,2011,Jul,888,4196,5084,Cluster Sedang
2011-07-15,Fall,2011,Jul,1318,4220,5538,Cluster Sedang
2011-07-16,Fall,2011,Jul,2418,3505,5923,Cluster Sedang
2011-07-17,Fall,2011,Jul,2006,3296,5302,Cluster Sedang
2011-07-18,Fall,2011,Jul,841,3617,4458,Cluster Sedang
2011-07-19,Fall,2011,Jul,752,3789,4541,Cluster Sedang
2011-07-20,Fall,2011,Jul,644,3688,4332,Cluster Sedang
2011-07-21,Fall,2011,Jul,632,3152,3784,Cluster Sedang
2011-07-22,Fall,2011,Jul,562,2825,3387,Cluster Sedang
2011-07-23,Fall,2011,Jul,987,2298,3285,Cluster Sedang
2011-07-24,Fall,2011,Jul,1050,2556,3606,Cluster Sedang
2011-07-25,Fall,2011,Jul,568,3272,3840,Cluster Sedang
2011-07-26,Fall,2011,Jul,750,3840,4590,Cluster Sedang
2011-07-27,Fall,2011,Jul,755,3901,4656,Cluster Sedang
2011-07-28,Fall,2011,Jul,606,3784,4390,Cluster Sedang
2011-07-29,Fall,2011,Jul,670,3176,3846,Cluster Sedang
2011-07-30,Fall,2011,Jul,1559,2916,4475,Cluster Sedang
2011-07-31,Fall,2011,Jul,1524,2778,4302,Cluster Sedang
2011-08-01,Fall,2011,Aug,729,3537,4266,Cluster Sedang
2011-08-02,Fall,2011,Aug,801,4044,4845,Cluster Sedang
2011-08-03,Fall,2011,Aug,467,3107,3574,Cluster Sedang
2011-08-04,Fall,2011,Aug,799,3777,4576,Cluster Sedang
2011-08-05,Fall,2011,Aug,1023,3843,4866,Cluster Sedang
2011-08-06,Fall,2011,Aug,1521,2773,4294,Cluster Sedang
2011-08-07,Fall,2011,Aug,1298,2487,3785,Cluster Sedang
2011-08-08,Fall,2011,Aug,846,3480,4326,Cluster Sedang
2011-08-09,Fall,2011,Aug,907,3695,4602,Cluster Sedang
2011-08-10,Fall,2011,Aug,884,3896,4780,Cluster Sedang
2011-08-11,Fall,2011,Aug,812,3980,4792,Cluster Sedang
2011-08-12,Fall,2011,Aug,1051,3854,4905,Cluster Sedang
2011-08-13,Fall,2011,Aug,1504,2646,4150,Cluster Sedang
2011-08-14,Fall,2011,Aug,1338,2482,3820,Cluster Sedang
2011-08-15,Fall,2011,Aug,775,3563,4338,Cluster Sedang
2011-08-16,Fall,2011,Aug,721,4004,4725,Cluster Sedang
2011-08-17,Fall,2011,Aug,668,4026,4694,Cluster Sedang
2011-08-18,Fall,2011,Aug,639,3166,3805,Cluster Sedang
2011-08-19,Fall,2011,Aug,797,3356,4153,Cluster Sedang
2011-08-20,Fall,2011,Aug,1914,3277,5191,Cluster Sedang
2011-08-21,Fall,2011,Aug,1249,2624,3873,Cluster Sedang
2011-08-22,Fall,2011,Aug,833,3925,4758,Cluster Sedang
2011-08-23,Fall,2011,Aug,1281,4614,5895,Cluster Sedang
2011-08-24,Fall,2011,Aug,949,4181,5130,Cluster Sedang
2011-08-25,Fall,2011,Aug,435,3107,3542,Cluster Sedang
2011-08-26,Fall,2011,Aug,768,3893,4661,Cluster Sedang
2011-08-27,Fall,2011,Aug,226,889,1115,Cluster Rendah
2011-08-28,Fall,2011,Aug,1415,2919,4334,Cluster Sedang
2011-08-29,Fall,2011,Aug,729,3905,4634,Cluster Sedang
2011-08-30,Fall,2011,Aug,775,4429,5204,Cluster Sedang
2011-08-31,Fall,2011,Aug,688,4370,5058,Cluster Sedang
2011-09-01,Fall,2011,Sep,783,4332,5115,Cluster Sedang
2011-09-02,Fall,2011,Sep,875,3852,4727,Cluster Sedang
2011-09-03,Fall,2011,Sep,1935,2549,4484,Cluster Sedang
2011-09-04,Fall,2011,Sep,2521,2419,4940,Cluster Sedang
2011-09-05,Fall,2011,Sep,1236,2115,3351,Cluster Sedang
2011-09-06,Fall,2011,Sep,204,2506,2710,Cluster Rendah
2011-09-07,Fall,2011,Sep,118,1878,1996,Cluster Rendah
2011-09-08,Fall,2011,Sep,153,1689,1842,Cluster Rendah
2011-09-09,Fall,2011,Sep,417,3127,3544,Cluster Sedang
2011-09-10,Fall,2011,Sep,1750,3595,5345,Cluster Sedang
2011-09-11,Fall,2011,Sep,1633,3413,5046,Cluster Sedang
2011-09-12,Fall,2011,Sep,690,4023,4713,Cluster Sedang
2011-09-13,Fall,2011,Sep,701,4062,4763,Cluster Sedang
2011-09-14,Fall,2011,Sep,647,4138,4785,Cluster Sedang
2011-09-15,Fall,2011,Sep,428,3231,3659,Cluster Sedang
2011-09-16,Fall,2011,Sep,742,4018,4760,Cluster Sedang
2011-09-17,Fall,2011,Sep,1434,3077,4511,Cluster Sedang
2011-09-18,Fall,2011,Sep,1353,2921,4274,Cluster Sedang
2011-09-19,Fall,2011,Sep,691,3848,4539,Cluster Sedang
2011-09-20,Fall,2011,Sep,438,3203,3641,Cluster Sedang
2011-09-21,Fall,2011,Sep,539,3813,4352,Cluster Sedang
2011-09-22,Fall,2011,Sep,555,4240,4795,Cluster Sedang
2011-09-23,Winter,2011,Sep,258,2137,2395,Cluster Rendah
2011-09-24,Winter,2011,Sep,1776,3647,5423,Cluster Sedang
2011-09-25,Winter,2011,Sep,1544,3466,5010,Cluster Sedang
2011-09-26,Winter,2011,Sep,684,3946,4630,Cluster Sedang
2011-09-27,Winter,2011,Sep,477,3643,4120,Cluster Sedang
2011-09-28,Winter,2011,Sep,480,3427,3907,Cluster Sedang
2011-09-29,Winter,2011,Sep,653,4186,4839,Cluster Sedang
2011-09-30,Winter,2011,Sep,830,4372,5202,Cluster Sedang
2011-10-01,Winter,2011,Oct,480,1949,2429,Cluster Rendah
2011-10-02,Winter,2011,Oct,616,2302,2918,Cluster Rendah
2011-10-03,Winter,2011,Oct,330,3240,3570,Cluster Sedang
2011-10-04,Winter,2011,Oct,486,3970,4456,Cluster Sedang
2011-10-05,Winter,2011,Oct,559,4267,4826,Cluster Sedang
2011-10-06,Winter,2011,Oct,639,4126,4765,Cluster Sedang
2011-10-07,Winter,2011,Oct,949,4036,4985,Cluster Sedang
2011-10-08,Winter,2011,Oct,2235,3174,5409,Cluster Sedang
2011-10-09,Winter,2011,Oct,2397,3114,5511,Cluster Sedang
2011-10-10,Winter,2011,Oct,1514,3603,5117,Cluster Sedang
2011-10-11,Winter,2011,Oct,667,3896,4563,Cluster Sedang
2011-10-12,Winter,2011,Oct,217,2199,2416,Cluster Rendah
2011-10-13,Winter,2011,Oct,290,2623,2913,Cluster Rendah
2011-10-14,Winter,2011,Oct,529,3115,3644,Cluster Sedang
2011-10-15,Winter,2011,Oct,1899,3318,5217,Cluster Sedang
2011-10-16,Winter,2011,Oct,1748,3293,5041,Cluster Sedang
2011-10-17,Winter,2011,Oct,713,3857,4570,Cluster Sedang
2011-10-18,Winter,2011,Oct,637,4111,4748,Cluster Sedang
2011-10-19,Winter,2011,Oct,254,2170,2424,Cluster Rendah
2011-10-20,Winter,2011,Oct,471,3724,4195,Cluster Sedang
2011-10-21,Winter,2011,Oct,676,3628,4304,Cluster Sedang
2011-10-22,Winter,2011,Oct,1499,2809,4308,Cluster Sedang
2011-10-23,Winter,2011,Oct,1619,2762,4381,Cluster Sedang
2011-10-24,Winter,2011,Oct,699,3488,4187,Cluster Sedang
2011-10-25,Winter,2011,Oct,695,3992,4687,Cluster Sedang
2011-10-26,Winter,2011,Oct,404,3490,3894,Cluster Sedang
2011-10-27,Winter,2011,Oct,240,2419,2659,Cluster Rendah
2011-10-28,Winter,2011,Oct,456,3291,3747,Cluster Sedang
2011-10-29,Winter,2011,Oct,57,570,627,Cluster Rendah
2011-10-30,Winter,2011,Oct,885,2446,3331,Cluster Sedang
2011-10-31,Winter,2011,Oct,362,3307,3669,Cluster Sedang
2011-11-01,Winter,2011,Nov,410,3658,4068,Cluster Sedang
2011-11-02,Winter,2011,Nov,370,3816,4186,Cluster Sedang
2011-11-03,Winter,2011,Nov,318,3656,3974,Cluster Sedang
2011-11-04,Winter,2011,Nov,470,3576,4046,Cluster Sedang
2011-11-05,Winter,2011,Nov,1156,2770,3926,Cluster Sedang
2011-11-06,Winter,2011,Nov,952,2697,3649,Cluster Sedang
2011-11-07,Winter,2011,Nov,373,3662,4035,Cluster Sedang
2011-11-08,Winter,2011,Nov,376,3829,4205,Cluster Sedang
2011-11-09,Winter,2011,Nov,305,3804,4109,Cluster Sedang
2011-11-10,Winter,2011,Nov,190,2743,2933,Cluster Rendah
2011-11-11,Winter,2011,Nov,440,2928,3368,Cluster Sedang
2011-11-12,Winter,2011,Nov,1275,2792,4067,Cluster Sedang
2011-11-13,Winter,2011,Nov,1004,2713,3717,Cluster Sedang
2011-11-14,Winter,2011,Nov,595,3891,4486,Cluster Sedang
2011-11-15,Winter,2011,Nov,449,3746,4195,Cluster Sedang
2011-11-16,Winter,2011,Nov,145,1672,1817,Cluster Rendah
2011-11-17,Winter,2011,Nov,139,2914,3053,Cluster Rendah
2011-11-18,Winter,2011,Nov,245,3147,3392,Cluster Sedang
2011-11-19,Winter,2011,Nov,943,2720,3663,Cluster Sedang
2011-11-20,Winter,2011,Nov,787,2733,3520,Cluster Sedang
2011-11-21,Winter,2011,Nov,220,2545,2765,Cluster Rendah
2011-11-22,Winter,2011,Nov,69,1538,1607,Cluster Rendah
2011-11-23,Winter,2011,Nov,112,2454,2566,Cluster Rendah
2011-11-24,Winter,2011,Nov,560,935,1495,Cluster Rendah
2011-11-25,Winter,2011,Nov,1095,1697,2792,Cluster Rendah
2011-11-26,Winter,2011,Nov,1249,1819,3068,Cluster Rendah
2011-11-27,Winter,2011,Nov,810,2261,3071,Cluster Rendah
2011-11-28,Winter,2011,Nov,253,3614,3867,Cluster Sedang
2011-11-29,Winter,2011,Nov,96,2818,2914,Cluster Rendah
2011-11-30,Winter,2011,Nov,188,3425,3613,Cluster Sedang
2011-12-01,Winter,2011,Dec,182,3545,3727,Cluster Sedang
2011-12-02,Winter,2011,Dec,268,3672,3940,Cluster Sedang
2011-12-03,Winter,2011,Dec,706,2908,3614,Cluster Sedang
2011-12-04,Winter,2011,Dec,634,2851,3485,Cluster Sedang
2011-12-05,Winter,2011,Dec,233,3578,3811,Cluster Sedang
2011-12-06,Winter,2011,Dec,126,2468,2594,Cluster Rendah
2011-12-07,Winter,2011,Dec,50,655,705,Cluster Rendah
2011-12-08,Winter,2011,Dec,150,3172,3322,Cluster Sedang
2011-12-09,Winter,2011,Dec,261,3359,3620,Cluster Sedang
2011-12-10,Winter,2011,Dec,502,2688,3190,Cluster Sedang
2011-12-11,Winter,2011,Dec,377,2366,2743,Cluster Rendah
2011-12-12,Winter,2011,Dec,143,3167,3310,Cluster Sedang
2011-12-13,Winter,2011,Dec,155,3368,3523,Cluster Sedang
2011-12-14,Winter,2011,Dec,178,3562,3740,Cluster Sedang
2011-12-15,Winter,2011,Dec,181,3528,3709,Cluster Sedang
2011-12-16,Winter,2011,Dec,178,3399,3577,Cluster Sedang
2011-12-17,Winter,2011,Dec,275,2464,2739,Cluster Rendah
2011-12-18,Winter,2011,Dec,220,2211,2431,Cluster Rendah
2011-12-19,Winter,2011,Dec,260,3143,3403,Cluster Sedang
2011-12-20,Winter,2011,Dec,216,3534,3750,Cluster Sedang
2011-12-21,Spring,2011,Dec,107,2553,2660,Cluster Rendah
2011-12-22,Spring,2011,Dec,227,2841,3068,Cluster Rendah
2011-12-23,Spring,2011,Dec,163,2046,2209,Cluster Rendah
2011-12-24,Spring,2011,Dec,155,856,1011,Cluster Rendah
2011-12-25,Spring,2011,Dec,303,451,754,Cluster Rendah
2011-12-26,Spring,2011,Dec,430,887,1317,Cluster Rendah
2011-12-27,Spring,2011,Dec,103,1059,1162,Cluster Rendah
2011-12-28,Spring,2011,Dec,255,2047,2302,Cluster Rendah
2011-12-29,Spring,2011,Dec,254,2169,2423,Cluster Rendah
2011-12-30,Spring,2011,Dec,491,2508,2999,Cluster Rendah
2011-12-31,Spring,2011,Dec,665,1820,2485,Cluster Rendah
2012-01-01,Spring,2012,Jan,686,1608,2294,Cluster Rendah
2012-01-02,Spring,2012,Jan,244,1707,1951,Cluster Rendah
2012-01-03,Spring,2012,Jan,89,2147,2236,Cluster Rendah
2012-01-04,Spring,2012,Jan,95,2273,2368,Cluster Rendah
2012-01-05,Spring,2012,Jan,140,3132,3272,Cluster Sedang
2012-01-06,Spring,2012,Jan,307,3791,4098,Cluster Sedang
2012-01-07,Spring,2012,Jan,1070,3451,4521,Cluster Sedang
2012-01-08,Spring,2012,Jan,599,2826,3425,Cluster Sedang
2012-01-09,Spring,2012,Jan,106,2270,2376,Cluster Rendah
2012-01-10,Spring,2012,Jan,173,3425,3598,Cluster Sedang
2012-01-11,Spring,2012,Jan,92,2085,2177,Cluster Rendah
2012-01-12,Spring,2012,Jan,269,3828,4097,Cluster Sedang
2012-01-13,Spring,2012,Jan,174,3040,3214,Cluster Sedang
2012-01-14,Spring,2012,Jan,333,2160,2493,Cluster Rendah
2012-01-15,Spring,2012,Jan,284,2027,2311,Cluster Rendah
2012-01-16,Spring,2012,Jan,217,2081,2298,Cluster Rendah
2012-01-17,Spring,2012,Jan,127,2808,2935,Cluster Rendah
2012-01-18,Spring,2012,Jan,109,3267,3376,Cluster Sedang
2012-01-19,Spring,2012,Jan,130,3162,3292,Cluster Sedang
2012-01-20,Spring,2012,Jan,115,3048,3163,Cluster Sedang
2012-01-21,Spring,2012,Jan,67,1234,1301,Cluster Rendah
2012-01-22,Spring,2012,Jan,196,1781,1977,Cluster Rendah
2012-01-23,Spring,2012,Jan,145,2287,2432,Cluster Rendah
2012-01-24,Spring,2012,Jan,439,3900,4339,Cluster Sedang
2012-01-25,Spring,2012,Jan,467,3803,4270,Cluster Sedang
2012-01-26,Spring,2012,Jan,244,3831,4075,Cluster Sedang
2012-01-27,Spring,2012,Jan,269,3187,3456,Cluster Sedang
2012-01-28,Spring,2012,Jan,775,3248,4023,Cluster Sedang
2012-01-29,Spring,2012,Jan,558,2685,3243,Cluster Sedang
2012-01-30,Spring,2012,Jan,126,3498,3624,Cluster Sedang
2012-01-31,Spring,2012,Jan,324,4185,4509,Cluster Sedang
2012-02-01,Spring,2012,Feb,304,4275,4579,Cluster Sedang
2012-02-02,Spring,2012,Feb,190,3571,3761,Cluster Sedang
2012-02-03,Spring,2012,Feb,310,3841,4151,Cluster Sedang
